population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality,Region
15915966,2.51,0.1,14.71810426,26.29078,18797,128.8517,66.1,25.9,Europe & Central Asia
38244442,4.76,6.3,0.266308378,21.59258,2358,129.9341,61.5,71,Sub-Saharan Africa
2144215,1.5,0.6,3.341848663,26.45693,20977,129.5746,72.3,10.5,Europe & Central Asia
4109389,1.57,0.1,3.996721795,27.20117,14158,127.5037,77.6,11.3,Middle East & North Africa
1972194,3.34,23.6,0.008617669,21.90157,2041,131.1361,45.2,114.2,Sub-Saharan Africa
3672782,5.19,1.6,0.157352183,21.89537,588,131.2555,61,100.9,Sub-Saharan Africa
3219802,1.42,0.1,4.498483391,26.86102,23223,130.8226,72,8.2,Europe & Central Asia
485079,1.63,0.3,22.16807969,27.43404,95001,122.3705,80.7,2.8,Europe & Central Asia
19926798,4.79,0.2,0.099422148,21.40347,1528,132.8371,63.4,66.7,Sub-Saharan Africa
13904671,5.78,11.2,0.082469881,22.03468,674,133.939,51.4,101.1,Sub-Saharan Africa
27197419,2.05,0.5,7.752233946,24.73069,19968,123.8593,74.5,8,East Asia & Pacific
321026,2.38,0.06,3.277725768,23.21991,12029,123.3223,78.2,16,South Asia
14223403,6.82,1,0.041078867,21.78881,1602,128.0308,55.8,148.3,Sub-Saharan Africa
406392,1.38,0.1,6.182771022,27.68361,27872,124.1571,81.4,6.6,Europe & Central Asia
3414552,4.94,0.7,0.613103977,22.62295,3356,129.9875,63.6,103,Sub-Saharan Africa
1238013,1.58,0.9,3.078762897,25.15669,14615,130.8786,72.1,15.8,Sub-Saharan Africa
114972821,2.35,0.3,4.261171866,27.42468,15826,122.1216,75.7,17.9,America
4111168,1.49,0.4,1.313321187,24.2369,3890,129.9424,69.6,17.6,Europe & Central Asia
2629666,2.37,0.06,3.759486815,24.88385,7563,129.7504,63.2,34.8,East Asia & Pacific
31350544,2.44,0.1,1.594083135,25.63182,6091,126.5284,73.3,35.8,Middle East & North Africa
22994867,5.54,11.4,0.104748301,21.93536,864,135.3949,55,114.4,Sub-Saharan Africa
51030006,2.05,0.6,0.1910534,21.44932,2891,123.1421,60.8,87.2,East Asia & Pacific
26325183,2.9,0.4,0.105412983,20.76344,1866,125.5561,68.6,50.7,South Asia
16519862,1.77,0.2,10.53302813,26.01541,47388,121.695,80.3,4.8,Europe & Central Asia
4285380,2.12,0.1,8.009084401,27.76893,32122,118.7421,80.2,6.4,East Asia & Pacific
5594524,2.72,0.2,0.778151613,25.77291,4060,123.4792,75.2,28.1,America
15085130,7.59,0.8,0.063437109,21.21958,843,135.1021,59.7,141.3,Sub-Saharan Africa
151115683,6.02,3.6,0.614689662,23.03322,4684,135.492,58,140.9,Sub-Saharan Africa
4771633,1.96,0.1,10.52976879,26.93424,65216,126.0266,80.7,3.6,Europe & Central Asia
2652281,2.89,0.1,15.57208046,26.24109,47799,126.887,74.6,11.9,Middle East & North Africa
163096985,3.58,0.1,0.935618056,22.29914,4187,126.5196,64.1,95.5,South Asia
3498679,2.61,0.9,2.223796343,26.26959,14033,122.6829,77.1,21,America
6540267,4.07,0.9,0.530746337,25.01506,1982,120.0524,58.2,69.7,East Asia & Pacific
6047131,3.06,0.3,0.698581746,25.54223,6684,123.615,73.6,25.7,America
28642048,2.58,0.4,1.450134438,24.77041,9249,119.6368,76.8,23.2,America
90297115,3.26,0.06,0.842120697,22.87263,5332,122.3459,69.4,33.4,East Asia & Pacific
38525752,1.33,0.1,8.270767149,26.6738,19996,129.6765,75.3,6.7,Europe & Central Asia
10577458,1.36,0.5,5.4869264,26.68445,27747,127.2631,79.2,4.1,Europe & Central Asia
1388962,2.2,0.06,48.70206152,28.13138,126076,126.3153,80.4,9.5,Middle East & North Africa
20741669,1.34,0.1,4.383449075,25.41069,18032,128.7553,73.4,16.1,Europe & Central Asia
143123163,1.49,1,11.98271761,26.01131,22506,128.4903,67.6,13.5,Europe & Central Asia
9750314,5.06,2.9,0.05424447,22.55453,1173,135.1005,62.2,78.3,Sub-Saharan Africa
12229703,5.11,0.8,0.461633711,21.92743,2162,130.2795,64.3,75.8,Sub-Saharan Africa
9109535,1.41,0.1,5.271222677,26.51495,12522,130.3755,76.4,8,Europe & Central Asia
5521838,5.13,1.6,0.118255775,22.53139,1289,134.716,55.9,179.1,Sub-Saharan Africa
4849641,1.28,0.1,4.114440755,23.83996,65991,121.1736,80.9,2.8,East Asia & Pacific
5396710,1.31,0.06,6.901654456,26.92717,24670,129.528,74.8,8.8,Europe & Central Asia
2030599,1.43,0.06,8.511828196,27.43983,30816,129.9231,78.5,3.7,Europe & Central Asia
9132589,7.06,0.6,0.068218889,21.96917,615,131.5318,56.7,168.5,Sub-Saharan Africa
50348811,2.54,17.9,9.427960373,26.85538,12263,130.9949,55,66.1,Sub-Saharan Africa
45817016,1.42,0.4,7.293088758,27.49975,34676,122.0453,81.1,5,Europe & Central Asia
19949553,2.32,0.06,0.580791088,21.96671,6907,124.8615,74.3,11.7,South Asia
34470138,4.79,1,0.382117945,22.40484,3246,129.7199,67.4,84.7,Sub-Saharan Africa
506657,2.41,1,4.74113997,25.49887,13470,124.6358,69.1,26.4,America
1153750,3.7,25.9,0.949860795,23.16969,5887,131.8793,46.1,112.2,Sub-Saharan Africa
9226333,1.92,0.1,5.315688399,26.37629,43421,122.9473,81.1,3.2,Europe & Central Asia
7646542,1.47,0.4,5.333057624,26.20195,55020,119.6465,81.9,4.7,Europe & Central Asia
7254072,3.7,0.2,0.45316766,23.77966,2001,129.9657,69.5,56.2,Europe & Central Asia
42844744,5.54,5.8,0.154672995,22.47792,2030,130.8328,59.7,72.4,Sub-Saharan Africa
66453255,1.48,1.3,3.835101888,23.00803,12216,120.4969,74.1,15.6,East Asia & Pacific
6052937,4.88,3.2,0.251983337,21.87875,1219,131.0248,60,96.4,Sub-Saharan Africa
1315372,1.8,1.5,31.95771727,26.39669,30875,124.9939,71.3,24.9,America
10408091,2.04,0.06,2.440669476,25.15699,9938,128.6291,76.5,19.4,Middle East & North Africa
70344357,2.15,0.06,4.021902589,26.70371,16454,124.0675,75.1,22.2,Europe & Central Asia
31014427,6.34,6.4,0.100852839,22.35833,1437,134.5204,57.2,89.3,Sub-Saharan Africa
46028476,1.38,1.1,7.03235908,25.42379,8762,131.4962,68.2,12.9,Europe & Central Asia
61689620,1.87,0.2,8.526466818,27.39249,37739,124.0845,79.5,5.6,Europe & Central Asia
304473143,2.07,0.6,18.5459917,28.45698,50384,118.4777,78.2,7.7,America
3350832,2.11,0.5,2.489763547,26.39123,15317,124.2604,76,13,America
26952719,2.46,0.1,4.476669019,25.32054,3733,124.3462,68.7,49.2,Europe & Central Asia
86589342,1.86,0.4,1.479346575,20.9163,4085,121.9367,75.4,26.2,East Asia & Pacific
13114579,5.88,13.6,0.148981514,20.68321,3039,132.4493,52,94.9,Sub-Saharan Africa
13495462,3.85,15.1,0.65432319,22.0266,1286,131.9745,49,98.3,Sub-Saharan Africa
